IPProto,SrcIP,SrcPort,DstIp,DstPort,UID,App,PackageName,Proto,Status,Info,BytesSent,BytesRcvd,PktsSent,PktsRcvd,FirstSeen,LastSeen
6,10.215.173.1,41682,64.233.184.95,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,fonts.googleapis.com,3458,15077,12,12,2026-06-26T21:31:40.046+02:00,2026-06-26T21:31:53.058+02:00
17,10.215.173.1,11462,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,fonts.gstatic.com,63,79,1,1,2026-06-26T21:31:40.184+02:00,2026-06-26T21:31:40.192+02:00
6,10.215.173.1,45044,142.251.209.131,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Closed,fonts.gstatic.com,3099,51308,14,16,2026-06-26T21:31:40.197+02:00,2026-06-26T21:31:53.058+02:00
17,10.215.173.1,19530,10.215.173.2,53,10251,Google Play Store,com.android.vending,DNS,Closed,android.clients.google.com,72,256,1,1,2026-06-26T21:31:41.112+02:00,2026-06-26T21:31:41.129+02:00
17,10.215.173.1,45515,10.215.173.2,53,10251,Google Play Store,com.android.vending,DNS,Closed,playstoregatewayadapter-pa.googleapis.com,87,151,1,1,2026-06-26T21:31:41.148+02:00,2026-06-26T21:31:41.156+02:00
17,10.215.173.1,13030,10.215.173.2,53,10251,Google Play Store,com.android.vending,DNS,Closed,prod-lt-playstoregatewayadapter-pa.googleapis.com,95,159,1,1,2026-06-26T21:31:41.174+02:00,2026-06-26T21:31:41.184+02:00
17,10.215.173.1,52316,10.215.173.2,53,10251,Google Play Store,com.android.vending,DNS,Closed,play-lh.googleusercontent.com,75,91,1,1,2026-06-26T21:31:41.189+02:00,2026-06-26T21:31:41.198+02:00
17,10.215.173.1,48748,10.215.173.2,53,10251,Google Play Store,com.android.vending,DNS,Closed,i.ytimg.com,57,265,1,1,2026-06-26T21:31:41.205+02:00,2026-06-26T21:31:41.216+02:00
17,10.215.173.1,41763,172.217.20.46,443,10251,Google Play Store,com.android.vending,QUIC,Closed,android.clients.google.com,7927,9690,16,16,2026-06-26T21:31:41.241+02:00,2026-06-26T21:31:41.391+02:00
6,10.215.173.1,48646,172.217.20.46,443,10251,Google Play Store,com.android.vending,HTTPS,Closed,play-fe.googleapis.com,2154,7062,7,7,2026-06-26T21:31:41.246+02:00,2026-06-26T21:32:45.209+02:00
17,10.215.173.1,34769,10.215.173.2,53,10308,Facebook,com.facebook.katana,DNS,Closed,scontent-cdg4-2.xx.fbcdn.net,74,90,1,1,2026-06-26T21:31:41.547+02:00,2026-06-26T21:31:41.554+02:00
17,10.215.173.1,41481,157.240.202.1,443,10308,Facebook,com.facebook.katana,QUIC,Closed,,7091,90247,15,77,2026-06-26T21:31:41.551+02:00,2026-06-26T21:31:41.691+02:00
17,10.215.173.1,43307,10.215.173.2,53,10251,Google Play Store,com.android.vending,DNS,Closed,connectivitycheck.gstatic.com,75,91,1,1,2026-06-26T21:31:41.606+02:00,2026-06-26T21:31:41.626+02:00
6,10.215.173.1,34994,172.217.20.35,443,10251,Google Play Store,com.android.vending,HTTPS,Closed,connectivitycheck.gstatic.com,1175,5237,8,8,2026-06-26T21:31:41.632+02:00,2026-06-26T21:32:45.209+02:00
17,10.215.173.1,30417,10.215.173.2,53,10350,PCAPdroid,com.emanuelef.remote_capture,DNS,Closed,firebaselogging.googleapis.com,76,140,1,1,2026-06-26T21:31:52.080+02:00,2026-06-26T21:31:52.148+02:00
6,10.215.173.1,35642,216.239.36.223,443,10350,PCAPdroid,com.emanuelef.remote_capture,HTTPS,Closed,firebaselogging.googleapis.com,2078,5989,8,8,2026-06-26T21:31:52.155+02:00,2026-06-26T21:32:55.317+02:00
17,10.215.173.1,8664,10.215.173.2,53,10247,Services Google Play,com.google.android.gms,DNS,Closed,mtalk.google.com,62,117,1,1,2026-06-26T21:32:30.022+02:00,2026-06-26T21:32:30.084+02:00
6,10.215.173.1,57452,74.125.71.188,5228,10247,Services Google Play,com.google.android.gms,TLS,Closed,mtalk.google.com,1322,1148,7,7,2026-06-26T21:32:30.093+02:00,2026-06-26T21:33:30.365+02:00
17,10.215.173.1,47636,10.215.173.2,53,10247,Services Google Play,com.google.android.gms,DNS,Closed,android.apis.google.com,69,109,1,1,2026-06-26T21:32:30.226+02:00,2026-06-26T21:32:30.250+02:00
17,10.215.173.1,37241,142.251.39.206,443,10247,Services Google Play,com.google.android.gms,QUIC,Closed,android.apis.google.com,6122,6007,11,13,2026-06-26T21:32:30.259+02:00,2026-06-26T21:32:30.403+02:00
6,10.215.173.1,41178,216.239.34.223,443,10251,Google Play Store,com.android.vending,HTTPS,Closed,play.googleapis.com,5298,8025,9,11,2026-06-26T21:32:48.635+02:00,2026-06-26T21:33:05.606+02:00
17,10.215.173.1,33484,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,configs.agario.miniclippt.com,75,139,1,1,2026-06-26T21:32:56.305+02:00,2026-06-26T21:32:56.382+02:00
17,10.215.173.1,34746,10.215.173.2,53,10345,Agar.io,com.miniclip.agar.io,DNS,Closed,firebaselogging-pa.googleapis.com,79,143,1,1,2026-06-26T21:32:56.333+02:00,2026-06-26T21:32:56.380+02:00
6,10.215.173.1,60712,216.239.34.223,443,10345,Agar.io,com.miniclip.agar.io,HTTPS,Error,firebaselogging-pa.googleapis.com,2547,6104,9,8,2026-06-26T21:32:56.389+02:00,2026-06-26T21:33:06.428+02:00
